date,temperature_2m_mean,precipitation_sum,et0_fao_evapotranspiration,region,temperature_2m_mean_lag1,temperature_2m_mean_lag7,temperature_2m_mean_rollmean3,temperature_2m_mean_rollmean7,precipitation_sum_lag1,precipitation_sum_lag7,precipitation_sum_rollmean3,precipitation_sum_rollmean7,et0_fao_evapotranspiration_lag1,et0_fao_evapotranspiration_lag7,et0_fao_evapotranspiration_rollmean3,et0_fao_evapotranspiration_rollmean7,wine_quality_score
2025-01-14,8.6,2.2,0.92,Messinia,,,8.6,8.6,,,2.2,2.2,,,0.92,0.92,4
2025-01-15,10.1,5.6,0.72,Messinia,8.6,,9.35,9.35,2.2,,3.9,3.9,0.92,,0.8200000000000001,0.8200000000000001,5
2025-01-16,11.7,0.1,1.47,Messinia,10.1,,10.133333333333333,10.133333333333333,5.6,,2.6333333333333333,2.6333333333333333,0.72,,1.0366666666666666,1.0366666666666666,5
2025-01-17,11.2,1.0,1.63,Messinia,11.7,,11.0,10.4,0.1,,2.233333333333333,2.225,1.47,,1.2733333333333332,1.185,4
2025-01-18,12.3,0.0,1.97,Messinia,11.2,,11.733333333333334,10.78,1.0,,0.3666666666666667,1.78,1.63,,1.6899999999999995,1.342,4
2025-01-19,12.1,0.0,2.09,Messinia,12.3,,11.866666666666667,11.0,0.0,,0.3333333333333333,1.4833333333333334,1.97,,1.8966666666666665,1.4666666666666668,4
2025-01-20,12.8,0.3,1.57,Messinia,12.1,,12.4,11.257142857142856,0.0,,0.1,1.3142857142857145,2.09,,1.8766666666666667,1.481428571428571,5
2025-01-21,13.4,4.6,1.57,Messinia,12.8,8.6,12.766666666666666,11.942857142857145,0.3,2.2,1.633333333333333,1.657142857142857,1.57,0.92,1.7433333333333334,1.5742857142857145,5
2025-01-22,12.0,0.2,1.76,Messinia,13.4,10.1,12.733333333333334,12.214285714285714,4.6,5.6,1.7,0.8857142857142858,1.57,0.72,1.6333333333333335,1.7228571428571426,4
2025-01-23,12.3,0.0,1.82,Messinia,12.0,11.7,12.566666666666668,12.3,0.2,0.1,1.6,0.8714285714285716,1.76,1.47,1.7166666666666668,1.772857142857143,4
2025-01-24,13.4,0.0,1.44,Messinia,12.3,11.2,12.566666666666668,12.614285714285716,0.0,1.0,0.0666666666666666,0.7285714285714285,1.82,1.63,1.6733333333333331,1.7457142857142856,5
2025-01-25,12.0,0.0,1.77,Messinia,13.4,12.3,12.566666666666668,12.571428571428571,0.0,0.0,0.0,0.7285714285714285,1.44,1.97,1.6766666666666667,1.7171428571428573,4
2025-01-26,12.0,0.0,1.34,Messinia,12.0,12.1,12.466666666666669,12.55714285714286,0.0,0.0,0.0,0.7285714285714285,1.77,2.09,1.5166666666666666,1.61,5
2025-01-27,12.7,0.0,1.66,Messinia,12.0,12.8,12.233333333333334,12.542857142857144,0.0,0.3,0.0,0.6857142857142857,1.34,1.57,1.59,1.622857142857143,5
2025-01-28,11.4,0.0,1.76,Messinia,12.7,13.4,12.033333333333331,12.257142857142856,0.0,4.6,0.0,0.0285714285714285,1.66,1.57,1.586666666666667,1.65,4
2025-01-29,12.8,0.0,1.36,Messinia,11.4,12.0,12.300000000000002,12.37142857142857,0.0,0.2,0.0,0.0,1.76,1.76,1.5933333333333335,1.592857142857143,5
2025-01-30,13.5,25.8,1.11,Messinia,12.8,12.3,12.566666666666668,12.542857142857144,0.0,0.0,8.6,3.685714285714286,1.36,1.82,1.41,1.4914285714285715,6
2025-01-31,11.7,0.0,1.92,Messinia,13.5,13.4,12.666666666666666,12.3,25.8,0.0,8.6,3.685714285714286,1.11,1.44,1.4633333333333336,1.56,4
2025-02-01,11.3,0.0,1.93,Messinia,11.7,12.0,12.166666666666666,12.2,0.0,0.0,8.6,3.685714285714286,1.92,1.77,1.653333333333333,1.582857142857143,4
2025-02-02,11.5,0.0,1.87,Messinia,11.3,12.0,11.5,12.128571428571428,0.0,0.0,0.0,3.685714285714286,1.93,1.34,1.9066666666666665,1.6585714285714286,4
2025-02-03,12.7,8.0,1.16,Messinia,11.5,12.7,11.833333333333334,12.12857142857143,0.0,0.0,2.6666666666666665,4.828571428571428,1.87,1.66,1.653333333333333,1.587142857142857,6
2025-02-04,11.2,3.0,1.62,Messinia,12.7,11.4,11.8,12.1,8.0,0.0,3.6666666666666665,5.257142857142857,1.16,1.76,1.55,1.5671428571428572,4
2025-02-05,9.7,0.0,1.95,Messinia,11.2,12.8,11.199999999999998,11.657142857142857,3.0,0.0,3.6666666666666665,5.257142857142857,1.62,1.36,1.5766666666666669,1.6514285714285717,3
2025-02-06,9.2,0.0,2.27,Messinia,9.7,13.5,10.033333333333331,11.042857142857144,0.0,25.8,1.0,1.5714285714285714,1.95,1.11,1.9466666666666663,1.817142857142857,3
2025-02-07,8.6,0.0,2.52,Messinia,9.2,11.7,9.166666666666666,10.6,0.0,0.0,0.0,1.5714285714285714,2.27,1.92,2.2466666666666666,1.9028571428571428,2
2025-02-08,7.3,0.0,2.45,Messinia,8.6,11.3,8.366666666666665,10.028571428571428,0.0,0.0,0.0,1.5714285714285714,2.52,1.93,2.4133333333333336,1.977142857142857,2
2025-02-09,7.6,0.0,2.32,Messinia,7.3,11.5,7.833333333333333,9.471428571428572,0.0,0.0,0.0,1.5714285714285714,2.45,1.87,2.43,2.041428571428572,2
2025-02-10,7.3,0.0,2.35,Messinia,7.6,12.7,7.399999999999999,8.7,0.0,8.0,0.0,0.4285714285714285,2.32,1.16,2.373333333333333,2.211428571428572,2
2025-02-11,7.1,0.0,2.05,Messinia,7.3,11.2,7.333333333333333,8.114285714285714,0.0,3.0,0.0,0.0,2.35,1.62,2.24,2.2728571428571427,2
2025-02-12,8.3,1.4,0.99,Messinia,7.1,9.7,7.566666666666667,7.914285714285714,0.0,0.0,0.4666666666666666,0.1999999999999999,2.05,1.95,1.7966666666666666,2.1357142857142857,4
2025-02-13,9.0,0.6,0.95,Messinia,8.3,9.2,8.133333333333333,7.885714285714286,1.4,0.0,0.6666666666666666,0.2857142857142857,0.99,2.27,1.3299999999999998,1.9471428571428573,4
2025-02-14,11.0,2.9,1.2,Messinia,9.0,8.6,9.433333333333332,8.22857142857143,0.6,0.0,1.6333333333333335,0.7000000000000001,0.95,2.52,1.0466666666666666,1.7585714285714285,5
2025-02-15,11.5,1.9,1.69,Messinia,11.0,7.3,10.5,8.828571428571427,2.9,0.0,1.8,0.9714285714285714,1.2,2.45,1.28,1.65,4
2025-02-16,11.8,29.8,0.66,Messinia,11.5,7.6,11.433333333333335,9.428571428571429,1.9,0.0,11.533333333333331,5.228571428571429,1.69,2.32,1.1833333333333331,1.4128571428571426,6
2025-02-17,10.5,0.0,2.17,Messinia,11.8,7.3,11.266666666666667,9.885714285714286,29.8,0.0,10.566666666666668,5.228571428571429,0.66,2.35,1.5066666666666666,1.387142857142857,3
2025-02-18,10.9,0.8,2.05,Messinia,10.5,7.1,11.066666666666668,10.428571428571429,0.0,0.0,10.2,5.342857142857143,2.17,2.05,1.6266666666666667,1.387142857142857,4
2025-02-19,10.4,0.0,2.32,Messinia,10.9,8.3,10.6,10.728571428571428,0.8,1.4,0.2666666666666666,5.142857142857143,2.05,0.99,2.18,1.577142857142857,3
2025-02-20,9.2,0.0,1.95,Messinia,10.4,9.0,10.166666666666666,10.757142857142856,0.0,0.6,0.2666666666666666,5.057142857142857,2.32,0.95,2.1066666666666665,1.72,3
2025-02-21,7.6,0.0,2.44,Messinia,9.2,11.0,9.066666666666666,10.271428571428572,0.0,2.9,0.0,4.642857142857143,1.95,1.2,2.236666666666667,1.8971428571428568,2
2025-02-22,7.1,0.0,2.57,Messinia,7.6,11.5,7.966666666666666,9.642857142857142,0.0,1.9,0.0,4.371428571428572,2.44,1.69,2.3200000000000003,2.0228571428571427,2
2025-02-23,8.0,0.0,1.74,Messinia,7.1,11.8,7.566666666666666,9.1,0.0,29.8,0.0,0.1142857142857143,2.57,0.66,2.25,2.177142857142857,3
2025-02-24,8.9,3.1,0.56,Messinia,8.0,10.5,8.0,8.871428571428572,0.0,0.0,1.0333333333333334,0.5571428571428572,1.74,2.17,1.6233333333333333,1.947142857142857,5
2025-02-25,11.6,0.3,2.21,Messinia,8.9,10.9,9.5,8.971428571428572,3.1,0.8,1.1333333333333333,0.4857142857142857,0.56,2.05,1.5033333333333332,1.97,4
2025-02-26,11.2,0.1,2.29,Messinia,11.6,10.4,10.566666666666665,9.085714285714284,0.3,0.0,1.1666666666666667,0.4999999999999999,2.21,2.32,1.6866666666666668,1.9657142857142853,4
2025-02-27,11.6,9.0,1.27,Messinia,11.2,9.2,11.466666666666669,9.428571428571429,0.1,0.0,3.1333333333333333,1.7857142857142858,2.29,1.95,1.9233333333333336,1.8685714285714283,5
2025-02-28,11.4,0.0,2.45,Messinia,11.6,7.6,11.4,9.971428571428572,9.0,0.0,3.033333333333333,1.7857142857142858,1.27,2.44,2.0033333333333334,1.8700000000000003,3
2025-03-01,11.8,0.0,2.52,Messinia,11.4,7.1,11.6,10.642857142857142,0.0,0.0,3.0,1.7857142857142858,2.45,2.57,2.08,1.862857142857143,3
2025-03-02,12.0,0.0,1.75,Messinia,11.8,8.0,11.733333333333334,11.214285714285714,0.0,0.0,0.0,1.7857142857142858,2.52,1.74,2.24,1.8642857142857143,4
2025-03-03,11.7,0.7,2.14,Messinia,12.0,8.9,11.833333333333334,11.614285714285714,0.0,3.1,0.2333333333333333,1.4428571428571426,1.75,0.56,2.1366666666666667,2.0900000000000003,4
2025-03-04,10.6,0.0,3.32,Messinia,11.7,11.6,11.433333333333332,11.471428571428572,0.7,0.3,0.2333333333333333,1.4,2.14,2.21,2.4033333333333338,2.2485714285714287,2
2025-03-05,11.4,0.0,3.51,Messinia,10.6,11.2,11.233333333333333,11.5,0.0,0.1,0.2333333333333333,1.3857142857142857,3.32,2.29,2.99,2.422857142857143,2
2025-03-06,11.7,0.0,3.21,Messinia,11.4,11.6,11.233333333333334,11.514285714285714,0.0,9.0,0.0,0.0999999999999999,3.51,1.27,3.3466666666666662,2.7,3
2025-03-07,11.7,0.0,3.08,Messinia,11.7,11.4,11.6,11.557142857142855,0.0,0.0,0.0,0.0999999999999999,3.21,2.45,3.266666666666667,2.79,3
2025-03-08,12.4,0.0,2.16,Messinia,11.7,11.8,11.933333333333332,11.642857142857142,0.0,0.0,0.0,0.0999999999999999,3.08,2.52,2.816666666666667,2.7385714285714284,4
