temperature_2m_mean,precipitation_sum,et0_fao_evapotranspiration,date,wine_quality_score
-0.3,4.7,0.44,2025-01-14,2
0.8,0.2,0.7,2025-01-15,2
2.7,0.2,0.66,2025-01-16,3
4.1,0.0,0.81,2025-01-17,3
0.9,0.0,0.96,2025-01-18,2
3.9,0.0,1.22,2025-01-19,2
4.8,0.0,1.08,2025-01-20,3
4.0,1.1,0.26,2025-01-21,4
5.5,0.0,1.22,2025-01-22,3
6.8,0.0,1.26,2025-01-23,3
7.1,0.0,1.08,2025-01-24,4
6.9,0.0,1.34,2025-01-25,3
5.5,0.0,0.96,2025-01-26,3
6.6,0.0,1.39,2025-01-27,3
5.4,0.0,1.32,2025-01-28,3
6.9,3.2,1.19,2025-01-29,3
8.5,4.1,0.93,2025-01-30,4
7.0,0.0,1.41,2025-01-31,3
6.1,0.0,1.34,2025-02-01,3
5.6,0.0,0.91,2025-02-02,3
6.7,0.5,1.21,2025-02-03,3
3.4,5.3,0.92,2025-02-04,3
2.9,0.0,1.66,2025-02-05,1
3.2,0.0,1.63,2025-02-06,2
3.0,0.0,1.15,2025-02-07,2
1.4,0.0,1.27,2025-02-08,1
1.0,0.0,1.24,2025-02-09,1
1.3,0.0,1.26,2025-02-10,1
0.8,0.0,1.24,2025-02-11,1
2.0,0.0,1.14,2025-02-12,2
2.7,0.0,1.16,2025-02-13,2
4.1,0.2,1.06,2025-02-14,3
5.2,0.0,1.49,2025-02-15,2
6.2,0.5,0.98,2025-02-16,3
5.7,0.6,1.24,2025-02-17,3
3.8,0.0,1.41,2025-02-18,2
1.0,0.0,1.88,2025-02-19,0
-0.7,0.0,1.56,2025-02-20,0
-0.4,0.0,1.63,2025-02-21,0
-0.0,0.0,1.63,2025-02-22,0
1.4,0.0,1.34,2025-02-23,1
2.6,0.0,1.35,2025-02-24,2
4.8,0.0,1.7,2025-02-25,2
6.4,0.0,1.75,2025-02-26,3
7.2,0.2,1.09,2025-02-27,4
8.9,0.3,2.03,2025-02-28,3
8.7,0.0,1.9,2025-03-01,3
6.7,3.7,0.95,2025-03-02,4
4.6,0.0,1.59,2025-03-03,2
4.9,0.0,2.21,2025-03-04,1
7.7,0.0,2.78,2025-03-05,2
7.2,0.0,2.71,2025-03-06,2
8.5,0.0,3.12,2025-03-07,2
8.4,0.0,2.95,2025-03-08,2
9.4,0.0,2.95,2025-03-09,2
10.6,0.0,3.18,2025-03-10,2
10.8,0.2,2.66,2025-03-11,3
13.5,4.0,2.39,2025-03-12,4
15.8,0.5,3.26,2025-03-13,4
15.0,0.0,4.05,2025-03-14,3
17.1,0.2,3.52,2025-03-15,4
15.0,0.1,3.73,2025-03-16,3
10.1,0.0,3.18,2025-03-17,2
4.2,0.5,1.94,2025-03-18,2
2.6,0.0,2.65,2025-03-19,0
5.2,0.0,2.84,2025-03-20,1
7.5,0.0,3.27,2025-03-21,1
8.9,0.0,3.11,2025-03-22,2
8.6,0.5,1.22,2025-03-23,4
12.2,5.0,2.1,2025-03-24,4
12.9,6.6,2.36,2025-03-25,4
11.7,4.6,1.55,2025-03-26,5
11.2,7.5,1.8,2025-03-27,4
11.0,18.2,2.93,2025-03-28,3
9.4,5.3,1.47,2025-03-29,4
10.2,0.0,2.27,2025-03-30,3
10.0,4.4,1.88,2025-03-31,4
8.6,14.8,0.91,2025-04-01,5
10.4,3.2,2.34,2025-04-02,3
11.2,2.8,2.56,2025-04-03,3
9.3,4.9,1.38,2025-04-04,4
10.8,0.1,3.04,2025-04-05,2
7.4,1.5,2.62,2025-04-06,2
2.6,3.0,2.46,2025-04-07,0
3.3,0.0,2.08,2025-04-08,1
5.1,0.0,3.2,2025-04-09,0
6.6,0.0,3.13,2025-04-10,1
