temperature_2m_mean,precipitation_sum,et0_fao_evapotranspiration,date,wine_quality_score
4.4,61.9,0.28,2025-01-14,5
5.5,0.4,0.3,2025-01-15,4
6.6,0.2,0.41,2025-01-16,4
6.9,0.3,1.05,2025-01-17,4
9.4,0.0,1.61,2025-01-18,4
9.8,0.0,1.56,2025-01-19,4
10.0,3.2,1.17,2025-01-20,5
9.5,14.1,0.94,2025-01-21,5
8.7,4.2,1.37,2025-01-22,4
9.3,0.0,1.32,2025-01-23,4
12.5,0.0,1.0,2025-01-24,6
12.4,0.0,1.74,2025-01-25,5
11.7,0.0,1.16,2025-01-26,5
11.7,0.0,1.33,2025-01-27,5
11.7,0.0,1.43,2025-01-28,5
14.1,4.8,1.02,2025-01-29,6
11.5,15.9,0.73,2025-01-30,6
11.6,0.0,1.68,2025-01-31,4
10.8,0.0,1.68,2025-02-01,4
12.1,0.0,1.23,2025-02-02,5
11.9,27.1,0.76,2025-02-03,6
10.3,0.0,1.46,2025-02-04,4
9.2,0.0,1.76,2025-02-05,3
8.4,0.0,1.98,2025-02-06,3
7.6,0.0,1.91,2025-02-07,3
6.3,0.0,2.02,2025-02-08,2
6.1,0.0,1.82,2025-02-09,2
6.3,0.0,1.87,2025-02-10,2
7.0,0.5,1.76,2025-02-11,3
7.8,9.3,0.92,2025-02-12,4
9.0,28.0,0.41,2025-02-13,6
10.6,3.8,0.93,2025-02-14,5
10.6,3.0,1.24,2025-02-15,5
10.3,17.7,0.87,2025-02-16,5
10.5,0.0,1.65,2025-02-17,4
10.3,0.0,1.49,2025-02-18,4
9.7,0.0,2.02,2025-02-19,3
7.7,0.0,1.59,2025-02-20,3
6.9,0.0,1.78,2025-02-21,3
6.3,0.0,1.95,2025-02-22,2
7.7,0.0,1.45,2025-02-23,3
8.4,0.1,0.98,2025-02-24,4
9.7,3.9,1.25,2025-02-25,4
10.1,0.3,1.79,2025-02-26,4
10.5,13.5,0.66,2025-02-27,6
10.0,0.0,2.07,2025-02-28,3
10.8,0.0,1.88,2025-03-01,4
10.8,0.9,1.32,2025-03-02,5
10.6,0.1,2.18,2025-03-03,3
9.2,0.0,2.83,2025-03-04,2
10.4,0.0,3.36,2025-03-05,2
12.0,0.0,3.42,2025-03-06,2
13.0,0.0,3.21,2025-03-07,3
12.4,0.0,2.13,2025-03-08,4
12.4,0.0,2.7,2025-03-09,3
12.4,0.0,2.08,2025-03-10,4
15.2,0.1,2.68,2025-03-11,4
17.8,0.5,2.96,2025-03-12,5
16.4,0.0,2.42,2025-03-13,5
16.4,0.0,3.48,2025-03-14,4
20.3,0.0,5.51,2025-03-15,3
16.8,0.0,2.95,2025-03-16,5
12.0,0.0,2.6,2025-03-17,3
9.7,0.5,1.6,2025-03-18,4
8.2,0.0,3.16,2025-03-19,1
8.5,0.0,3.02,2025-03-20,2
10.0,0.0,2.73,2025-03-21,3
9.9,0.0,2.72,2025-03-22,3
13.4,0.0,2.22,2025-03-23,4
16.9,2.6,3.5,2025-03-24,4
15.9,7.5,2.66,2025-03-25,5
16.5,1.9,3.36,2025-03-26,4
14.2,12.3,1.25,2025-03-27,6
11.7,5.2,2.0,2025-03-28,4
11.5,10.1,1.42,2025-03-29,5
11.9,4.2,2.07,2025-03-30,4
12.1,3.2,2.44,2025-03-31,4
12.3,5.1,2.48,2025-04-01,4
13.0,1.0,2.69,2025-04-02,4
13.6,0.6,2.97,2025-04-03,3
12.5,0.0,3.05,2025-04-04,3
12.2,0.2,2.69,2025-04-05,3
12.6,0.0,2.64,2025-04-06,4
10.9,1.3,3.57,2025-04-07,2
9.5,0.0,2.21,2025-04-08,3
9.3,0.0,2.83,2025-04-09,2
9.7,0.0,2.82,2025-04-10,2
