temperature_2m_mean,precipitation_sum,et0_fao_evapotranspiration,date,wine_quality_score
14.3,13.3,1.7,2025-01-14,6
13.4,1.9,1.6,2025-01-15,5
14.7,1.5,2.05,2025-01-16,5
14.0,1.5,1.98,2025-01-17,5
14.1,0.0,2.34,2025-01-18,4
14.2,0.0,2.27,2025-01-19,5
14.5,0.0,1.98,2025-01-20,5
15.2,0.0,1.92,2025-01-21,5
14.9,0.0,2.68,2025-01-22,4
15.5,0.0,2.57,2025-01-23,5
15.8,0.0,2.05,2025-01-24,5
14.2,0.0,1.9,2025-01-25,5
12.8,0.6,1.61,2025-01-26,5
12.4,0.0,1.81,2025-01-27,5
13.9,0.0,1.86,2025-01-28,5
13.8,0.0,1.97,2025-01-29,5
14.4,0.0,2.03,2025-01-30,5
14.7,0.0,2.49,2025-01-31,4
13.4,0.0,1.98,2025-02-01,5
13.0,0.0,1.73,2025-02-02,5
14.0,0.0,1.9,2025-02-03,5
12.7,10.3,1.56,2025-02-04,5
10.5,5.7,2.04,2025-02-05,4
9.9,2.2,2.14,2025-02-06,3
9.5,1.0,2.63,2025-02-07,3
9.7,7.5,1.57,2025-02-08,4
9.5,7.5,1.51,2025-02-09,4
9.1,7.2,1.48,2025-02-10,4
9.1,4.5,1.53,2025-02-11,4
9.3,0.0,1.99,2025-02-12,3
10.0,0.1,1.46,2025-02-13,4
12.7,0.0,1.84,2025-02-14,5
12.6,0.2,2.11,2025-02-15,4
12.9,0.6,1.89,2025-02-16,5
13.1,0.9,1.79,2025-02-17,5
13.2,0.2,1.98,2025-02-18,5
11.7,8.4,1.33,2025-02-19,5
9.4,4.5,2.38,2025-02-20,3
7.9,3.2,1.84,2025-02-21,3
7.0,2.6,2.11,2025-02-22,2
7.7,0.0,2.14,2025-02-23,2
10.4,1.3,1.88,2025-02-24,4
11.8,2.7,1.91,2025-02-25,4
12.1,2.6,2.09,2025-02-26,4
13.2,0.2,2.14,2025-02-27,4
12.8,0.1,2.24,2025-02-28,4
13.1,0.0,2.36,2025-03-01,4
13.0,0.3,1.55,2025-03-02,5
12.3,8.9,1.49,2025-03-03,5
10.9,2.8,1.99,2025-03-04,4
11.7,11.3,1.23,2025-03-05,5
12.7,0.0,2.51,2025-03-06,4
12.7,0.0,2.84,2025-03-07,3
13.3,0.0,2.2,2025-03-08,4
14.2,0.0,2.94,2025-03-09,4
14.1,0.0,3.3,2025-03-10,3
16.2,0.0,3.37,2025-03-11,4
19.5,0.0,3.24,2025-03-12,5
20.4,0.0,3.85,2025-03-13,5
18.8,0.0,3.46,2025-03-14,5
19.8,0.0,3.78,2025-03-15,5
21.6,0.0,3.91,2025-03-16,5
17.4,0.0,3.94,2025-03-17,4
15.2,1.4,3.95,2025-03-18,3
10.5,10.2,2.37,2025-03-19,3
10.6,1.7,2.67,2025-03-20,3
11.3,0.0,2.95,2025-03-21,3
12.6,0.0,3.53,2025-03-22,2
15.2,0.0,3.48,2025-03-23,3
17.8,0.0,3.48,2025-03-24,4
17.9,0.1,2.85,2025-03-25,5
17.4,0.0,2.81,2025-03-26,5
19.6,0.2,3.69,2025-03-27,5
16.6,0.2,4.26,2025-03-28,3
15.9,0.0,3.84,2025-03-29,3
14.9,1.0,2.93,2025-03-30,4
15.1,3.6,2.6,2025-03-31,5
14.5,11.6,2.2,2025-04-01,5
14.3,3.2,2.72,2025-04-02,4
14.4,0.0,3.0,2025-04-03,4
14.3,0.0,3.22,2025-04-04,3
15.0,0.3,3.55,2025-04-05,3
15.6,0.0,4.07,2025-04-06,3
15.6,3.5,3.24,2025-04-07,4
12.4,13.1,1.11,2025-04-08,6
11.1,8.7,1.86,2025-04-09,4
11.7,0.0,3.58,2025-04-10,2
