temperature_2m_mean,precipitation_sum,et0_fao_evapotranspiration,date,wine_quality_score
3.4,2.9,0.37,2025-01-14,3
4.1,0.8,0.65,2025-01-15,3
6.4,0.0,0.77,2025-01-16,4
7.2,0.0,1.32,2025-01-17,3
6.5,0.0,1.46,2025-01-18,3
7.4,0.0,1.72,2025-01-19,3
8.3,0.0,1.27,2025-01-20,4
8.2,0.8,0.67,2025-01-21,5
8.7,0.0,1.31,2025-01-22,4
9.7,0.0,1.34,2025-01-23,4
8.4,0.0,0.53,2025-01-24,5
9.4,0.0,1.35,2025-01-25,4
9.7,0.0,1.13,2025-01-26,4
9.3,0.0,1.22,2025-01-27,4
9.0,0.0,0.87,2025-01-28,5
9.7,0.0,1.17,2025-01-29,4
10.9,11.6,0.89,2025-01-30,5
10.5,0.6,1.2,2025-01-31,5
9.6,0.0,1.34,2025-02-01,4
9.6,0.1,0.83,2025-02-02,5
9.8,0.1,1.46,2025-02-03,4
7.5,14.2,0.8,2025-02-04,4
6.3,0.0,1.9,2025-02-05,2
6.1,0.0,1.73,2025-02-06,2
5.5,0.1,0.96,2025-02-07,3
4.1,0.0,1.27,2025-02-08,2
4.8,0.0,1.12,2025-02-09,3
4.7,0.0,1.4,2025-02-10,2
3.9,0.0,1.29,2025-02-11,2
4.7,0.0,1.41,2025-02-12,2
7.4,0.3,1.16,2025-02-13,4
8.1,0.8,0.9,2025-02-14,4
8.2,0.0,1.52,2025-02-15,3
8.2,3.1,0.48,2025-02-16,5
8.8,4.6,0.49,2025-02-17,5
7.0,3.9,0.93,2025-02-18,4
4.7,0.3,2.51,2025-02-19,1
3.0,0.0,1.39,2025-02-20,2
2.9,0.0,1.74,2025-02-21,1
3.0,0.0,1.45,2025-02-22,2
5.1,0.0,1.43,2025-02-23,2
6.0,0.2,0.69,2025-02-24,4
7.5,0.0,1.63,2025-02-25,3
9.1,0.0,1.1,2025-02-26,4
10.0,0.2,1.19,2025-02-27,4
11.5,0.6,2.07,2025-02-28,4
10.5,0.0,1.56,2025-03-01,4
9.5,2.7,0.97,2025-03-02,5
7.5,3.9,1.34,2025-03-03,3
6.7,0.0,1.85,2025-03-04,2
8.1,0.0,2.3,2025-03-05,2
9.5,0.0,2.51,2025-03-06,3
10.0,0.0,2.58,2025-03-07,3
10.5,0.0,2.89,2025-03-08,3
11.2,0.0,3.33,2025-03-09,2
10.8,0.0,2.96,2025-03-10,3
11.6,0.0,2.41,2025-03-11,3
14.1,0.9,1.75,2025-03-12,5
18.0,0.3,3.7,2025-03-13,4
17.2,0.0,3.88,2025-03-14,4
15.5,0.0,2.89,2025-03-15,4
15.0,0.0,2.84,2025-03-16,4
14.5,0.0,3.94,2025-03-17,3
8.6,1.6,3.17,2025-03-18,2
6.4,1.1,2.83,2025-03-19,1
7.2,0.0,2.82,2025-03-20,1
8.4,0.0,3.04,2025-03-21,2
9.6,0.0,2.84,2025-03-22,2
10.1,1.0,1.46,2025-03-23,4
13.1,0.2,1.8,2025-03-24,5
14.0,3.9,1.7,2025-03-25,5
13.4,2.0,1.94,2025-03-26,5
13.1,7.2,1.76,2025-03-27,5
13.8,1.0,2.92,2025-03-28,4
12.6,19.1,1.81,2025-03-29,5
13.4,16.8,1.99,2025-03-30,5
12.7,7.8,1.56,2025-03-31,5
11.9,32.8,0.64,2025-04-01,6
13.7,1.7,2.3,2025-04-02,4
13.4,3.3,2.5,2025-04-03,4
11.9,8.7,1.23,2025-04-04,5
13.4,0.0,3.19,2025-04-05,3
11.4,0.1,3.36,2025-04-06,2
6.7,8.0,2.92,2025-04-07,1
6.6,0.0,1.87,2025-04-08,2
8.3,0.0,3.44,2025-04-09,1
9.7,0.1,3.7,2025-04-10,1
