temperature_2m_mean,precipitation_sum,et0_fao_evapotranspiration,date,wine_quality_score
14.6,1.0,2.26,2025-01-14,5
13.3,2.7,1.66,2025-01-15,5
13.1,0.4,2.06,2025-01-16,4
13.2,0.3,1.62,2025-01-17,5
12.4,0.0,1.85,2025-01-18,4
12.9,0.0,1.83,2025-01-19,5
13.2,0.0,1.5,2025-01-20,5
14.2,0.0,1.52,2025-01-21,6
13.4,1.4,2.05,2025-01-22,5
12.9,0.0,2.19,2025-01-23,4
15.2,0.0,2.07,2025-01-24,5
13.5,0.0,1.76,2025-01-25,5
13.6,0.0,2.01,2025-01-26,5
10.6,0.0,1.77,2025-01-27,4
12.1,0.0,1.94,2025-01-28,4
13.4,0.0,2.45,2025-01-29,4
14.3,0.8,1.99,2025-01-30,5
12.6,0.0,2.23,2025-01-31,4
12.0,0.0,1.85,2025-02-01,4
11.4,0.0,1.96,2025-02-02,4
12.8,0.0,2.11,2025-02-03,4
12.3,5.3,2.0,2025-02-04,4
10.8,0.2,2.9,2025-02-05,3
10.0,1.2,3.32,2025-02-06,2
9.6,0.0,2.99,2025-02-07,2
10.0,2.2,2.16,2025-02-08,3
9.6,2.9,1.76,2025-02-09,4
9.6,1.8,2.3,2025-02-10,3
9.9,0.4,2.59,2025-02-11,3
9.9,0.0,2.88,2025-02-12,2
9.7,0.0,2.13,2025-02-13,3
12.1,0.0,2.4,2025-02-14,4
13.2,0.1,2.48,2025-02-15,4
13.2,0.1,2.77,2025-02-16,4
13.6,1.1,2.37,2025-02-17,4
11.6,0.2,2.17,2025-02-18,4
11.3,7.3,1.0,2025-02-19,5
9.5,1.2,2.76,2025-02-20,2
8.4,0.9,2.87,2025-02-21,2
7.1,0.8,2.72,2025-02-22,2
7.9,0.0,2.46,2025-02-23,2
9.8,0.0,2.27,2025-02-24,3
11.1,2.5,1.69,2025-02-25,4
11.4,0.0,2.17,2025-02-26,4
12.9,0.0,2.77,2025-02-27,3
12.4,0.1,2.35,2025-02-28,4
11.7,0.0,2.22,2025-03-01,4
12.0,0.0,1.89,2025-03-02,4
11.9,8.8,1.48,2025-03-03,5
11.5,0.3,2.79,2025-03-04,3
12.8,6.9,1.88,2025-03-05,5
13.4,0.0,2.66,2025-03-06,4
12.2,0.0,2.81,2025-03-07,3
12.2,0.0,2.74,2025-03-08,3
13.5,0.3,2.8,2025-03-09,4
13.0,0.0,2.98,2025-03-10,3
16.3,0.0,3.84,2025-03-11,3
19.9,0.0,5.73,2025-03-12,2
20.3,0.0,5.96,2025-03-13,2
20.0,0.0,4.82,2025-03-14,3
17.5,0.0,4.26,2025-03-17,3
15.2,0.1,3.77,2025-03-18,3
11.0,12.2,2.72,2025-03-19,3
10.8,0.0,3.78,2025-03-20,1
12.3,0.8,3.58,2025-03-21,2
12.9,0.0,3.48,2025-03-22,3
14.0,0.0,4.03,2025-03-23,2
18.6,0.0,5.35,2025-03-24,2
20.6,0.0,6.41,2025-03-25,2
20.8,0.0,6.07,2025-03-26,2
22.8,0.0,7.33,2025-03-27,1
17.7,0.3,3.39,2025-03-28,4
15.3,0.3,3.15,2025-03-29,4
15.0,2.1,3.2,2025-03-30,4
15.3,0.5,3.08,2025-03-31,4
15.0,11.6,2.12,2025-04-01,5
14.2,4.7,2.43,2025-04-02,4
14.5,0.0,3.18,2025-04-03,4
14.0,0.0,3.08,2025-04-04,3
13.9,0.0,3.46,2025-04-05,3
13.9,0.0,3.34,2025-04-06,3
15.9,0.2,3.83,2025-04-07,3
13.2,7.0,1.04,2025-04-08,6
11.8,2.1,2.0,2025-04-09,4
12.1,0.0,3.33,2025-04-10,3
