temperature_2m_mean,precipitation_sum,et0_fao_evapotranspiration,date,wine_quality_score
7.0,11.5,0.75,2025-01-14,4
7.4,0.1,1.22,2025-01-15,4
8.8,0.6,1.17,2025-01-16,4
8.5,0.0,2.02,2025-01-17,3
8.8,0.0,1.83,2025-01-18,3
9.1,0.0,1.88,2025-01-19,3
9.9,0.0,1.92,2025-01-20,4
10.7,0.0,1.49,2025-01-21,4
10.9,0.0,1.64,2025-01-22,4
10.9,0.0,1.69,2025-01-23,4
11.3,0.4,0.86,2025-01-24,5
11.5,0.0,1.68,2025-01-25,4
10.5,0.0,1.53,2025-01-26,4
11.4,0.0,1.23,2025-01-27,5
11.0,0.0,1.4,2025-01-28,5
12.3,0.0,1.57,2025-01-29,5
13.4,0.6,1.2,2025-01-30,6
11.7,0.0,1.72,2025-01-31,4
11.2,0.0,1.87,2025-02-01,4
10.5,0.0,1.66,2025-02-02,4
10.8,2.4,1.31,2025-02-03,5
9.6,12.2,1.33,2025-02-04,4
6.4,0.0,2.06,2025-02-05,2
6.6,0.4,1.62,2025-02-06,3
6.3,0.0,2.37,2025-02-07,2
6.0,0.0,2.34,2025-02-08,2
5.6,0.0,1.94,2025-02-09,2
5.4,0.0,1.79,2025-02-10,2
5.4,0.0,1.94,2025-02-11,2
5.8,0.0,2.05,2025-02-12,2
6.3,0.0,1.77,2025-02-13,2
10.0,1.6,1.35,2025-02-14,4
12.3,1.6,2.0,2025-02-15,4
12.1,7.7,1.3,2025-02-16,5
11.5,0.0,1.74,2025-02-17,4
10.6,0.3,1.61,2025-02-18,4
7.8,0.1,1.29,2025-02-19,4
5.1,0.0,2.25,2025-02-20,1
4.4,0.0,2.25,2025-02-21,1
3.5,0.0,2.26,2025-02-22,1
4.0,0.0,1.71,2025-02-23,2
6.5,0.0,1.38,2025-02-24,3
9.6,0.2,1.91,2025-02-25,3
10.6,2.0,1.65,2025-02-26,4
10.7,6.8,1.02,2025-02-27,5
11.4,0.9,1.65,2025-02-28,4
11.2,0.0,2.19,2025-03-01,4
11.0,0.0,1.42,2025-03-02,5
10.1,0.0,2.28,2025-03-03,3
8.4,0.0,3.39,2025-03-04,1
10.2,0.0,3.47,2025-03-05,2
10.8,0.0,3.31,2025-03-06,2
12.1,0.0,3.5,2025-03-07,2
11.4,0.0,3.32,2025-03-08,2
11.3,0.0,3.11,2025-03-09,3
12.3,0.0,2.92,2025-03-10,3
15.1,0.0,2.64,2025-03-11,4
16.3,0.2,2.66,2025-03-12,5
17.1,1.0,3.09,2025-03-13,5
16.3,0.0,3.21,2025-03-14,4
17.1,0.0,3.65,2025-03-15,4
18.1,0.0,3.68,2025-03-16,4
16.6,0.0,4.97,2025-03-17,2
11.4,3.1,2.37,2025-03-18,4
6.9,0.2,3.6,2025-03-19,0
8.0,0.0,2.89,2025-03-20,2
8.8,0.0,3.23,2025-03-21,1
10.0,0.0,3.11,2025-03-22,2
13.4,0.1,2.51,2025-03-23,4
15.9,0.0,2.19,2025-03-24,5
15.7,0.7,2.16,2025-03-25,5
16.0,0.0,2.72,2025-03-26,5
16.7,0.3,2.87,2025-03-27,5
15.5,0.4,3.55,2025-03-28,3
14.5,0.0,3.23,2025-03-29,3
13.9,3.0,2.81,2025-03-30,4
13.3,3.9,2.57,2025-03-31,4
13.8,0.0,3.03,2025-04-01,3
13.1,8.5,1.86,2025-04-02,5
12.8,2.5,2.42,2025-04-03,4
13.2,1.0,2.97,2025-04-04,3
12.7,5.5,2.09,2025-04-05,4
14.1,0.0,3.65,2025-04-06,3
10.4,0.6,1.94,2025-04-07,4
9.2,0.4,3.39,2025-04-08,1
9.1,0.7,2.18,2025-04-09,3
9.8,0.0,3.38,2025-04-10,2
