temperature_2m_mean,precipitation_sum,et0_fao_evapotranspiration,date,wine_quality_score
5.2,17.5,0.35,2025-01-14,4
6.0,12.2,0.35,2025-01-15,4
7.9,1.8,1.04,2025-01-16,4
7.8,0.0,2.13,2025-01-17,3
9.6,0.0,2.24,2025-01-18,3
10.8,0.0,2.28,2025-01-19,3
10.7,0.0,2.3,2025-01-20,3
10.8,0.0,1.65,2025-01-21,4
11.0,0.0,1.16,2025-01-22,5
12.0,0.0,1.49,2025-01-23,5
12.6,0.0,1.17,2025-01-24,5
11.2,0.1,1.36,2025-01-25,5
9.5,0.0,1.46,2025-01-26,4
10.5,0.0,1.23,2025-01-27,5
12.6,0.0,1.49,2025-01-28,5
15.2,0.0,1.71,2025-01-29,6
15.3,0.1,1.64,2025-01-30,6
13.3,0.0,1.3,2025-01-31,5
11.2,0.0,1.23,2025-02-01,5
11.0,0.0,1.24,2025-02-02,5
10.3,0.0,1.44,2025-02-03,4
7.7,0.0,2.01,2025-02-04,3
6.0,0.0,2.69,2025-02-05,1
6.5,0.0,2.53,2025-02-06,2
4.9,0.0,2.38,2025-02-07,1
4.6,0.0,1.81,2025-02-08,2
4.6,0.0,1.86,2025-02-09,2
5.1,0.0,2.05,2025-02-10,2
4.8,0.0,2.15,2025-02-11,1
5.4,0.0,1.93,2025-02-12,2
7.5,0.0,1.22,2025-02-13,4
10.6,5.5,0.9,2025-02-14,5
11.7,3.8,1.12,2025-02-15,5
10.8,6.5,0.9,2025-02-16,5
8.1,9.1,0.57,2025-02-17,5
7.1,2.0,1.12,2025-02-18,4
5.3,0.2,1.43,2025-02-19,3
3.8,0.0,2.33,2025-02-20,1
2.9,0.0,2.39,2025-02-21,0
1.9,0.0,2.07,2025-02-22,1
3.8,0.0,1.57,2025-02-23,2
4.6,0.0,1.32,2025-02-24,2
8.5,0.3,1.08,2025-02-25,4
10.5,0.2,1.14,2025-02-26,5
11.8,1.3,1.32,2025-02-27,5
12.1,3.0,1.72,2025-02-28,5
10.8,0.0,1.99,2025-03-01,4
10.5,0.7,1.53,2025-03-02,4
8.9,0.3,2.35,2025-03-03,3
8.2,0.0,3.06,2025-03-04,1
9.4,0.0,2.84,2025-03-05,2
11.4,0.0,2.78,2025-03-06,3
12.8,0.0,3.47,2025-03-07,3
11.9,0.0,3.45,2025-03-08,2
11.8,0.0,3.4,2025-03-09,2
12.6,0.0,2.79,2025-03-10,3
15.6,0.0,2.37,2025-03-11,5
16.8,1.2,2.93,2025-03-12,5
17.1,1.9,3.32,2025-03-13,4
17.3,0.0,3.1,2025-03-14,5
17.9,0.0,3.66,2025-03-15,4
18.3,0.2,3.4,2025-03-16,5
15.5,0.0,3.46,2025-03-17,4
9.3,0.6,2.32,2025-03-18,3
6.4,0.0,3.75,2025-03-19,0
9.2,0.0,3.28,2025-03-20,2
10.1,0.0,2.97,2025-03-21,2
10.5,0.0,3.05,2025-03-22,2
13.3,0.8,1.98,2025-03-23,5
15.6,0.5,1.94,2025-03-24,5
15.2,5.1,1.42,2025-03-25,6
15.0,0.4,2.52,2025-03-26,5
16.3,0.0,2.79,2025-03-27,5
13.7,19.3,1.45,2025-03-28,6
13.5,15.2,1.77,2025-03-29,5
14.1,13.1,1.84,2025-03-30,5
14.0,10.9,1.99,2025-03-31,5
13.2,14.2,1.03,2025-04-01,6
12.3,0.4,1.16,2025-04-02,5
13.5,0.8,2.77,2025-04-03,4
13.7,0.0,2.76,2025-04-04,4
14.1,0.6,3.14,2025-04-05,3
14.4,3.3,3.08,2025-04-06,4
6.9,7.9,1.38,2025-04-07,3
7.9,0.0,3.11,2025-04-08,1
9.1,0.3,3.28,2025-04-09,2
11.4,0.0,3.6,2025-04-10,2
