temperature_2m_mean,precipitation_sum,et0_fao_evapotranspiration,date,wine_quality_score
2.1,16.9,0.22,2025-01-14,3
2.0,4.6,0.32,2025-01-15,3
4.5,0.4,0.24,2025-01-16,4
5.0,0.1,1.14,2025-01-17,3
6.5,0.0,1.53,2025-01-18,3
7.4,0.0,1.64,2025-01-19,3
7.8,0.4,1.3,2025-01-20,4
8.0,1.3,0.82,2025-01-21,4
7.3,0.0,1.47,2025-01-22,3
7.7,0.0,1.62,2025-01-23,3
9.4,0.2,1.24,2025-01-24,4
8.4,0.0,1.77,2025-01-25,3
7.9,0.0,1.29,2025-01-26,4
8.9,0.0,1.67,2025-01-27,3
8.0,0.0,1.77,2025-01-28,3
8.8,0.0,1.69,2025-01-29,3
9.1,0.2,1.25,2025-01-30,4
8.0,0.0,1.67,2025-01-31,3
7.4,0.0,1.8,2025-02-01,3
7.5,0.0,1.7,2025-02-02,3
7.4,7.5,0.98,2025-02-03,4
6.0,0.4,0.88,2025-02-04,3
3.6,0.0,1.32,2025-02-05,2
2.5,0.0,1.33,2025-02-06,2
2.0,0.0,0.9,2025-02-07,2
1.1,0.0,1.29,2025-02-08,1
1.4,0.0,1.29,2025-02-09,1
0.7,0.0,1.32,2025-02-10,1
1.1,0.0,1.43,2025-02-11,1
1.9,0.8,0.7,2025-02-12,2
3.6,2.5,0.8,2025-02-13,3
6.7,0.5,1.31,2025-02-14,3
6.7,0.0,1.69,2025-02-15,3
6.1,11.3,0.57,2025-02-16,4
7.6,0.4,1.79,2025-02-17,3
7.5,0.0,1.53,2025-02-18,3
4.5,0.0,1.57,2025-02-19,2
1.7,0.0,1.09,2025-02-20,2
1.2,0.0,1.39,2025-02-21,1
0.2,0.0,1.44,2025-02-22,1
1.6,0.2,1.64,2025-02-23,1
4.0,0.3,1.39,2025-02-24,2
6.9,0.5,1.7,2025-02-25,3
6.8,0.0,1.83,2025-02-26,3
7.1,4.1,1.01,2025-02-27,4
7.0,0.1,1.85,2025-02-28,3
8.2,0.0,2.06,2025-03-01,3
8.2,0.2,1.48,2025-03-02,3
6.7,0.0,1.43,2025-03-03,3
4.5,0.2,1.92,2025-03-04,2
5.5,0.0,2.49,2025-03-05,1
7.3,0.0,2.96,2025-03-06,1
8.6,0.0,3.3,2025-03-07,1
8.9,0.0,3.12,2025-03-08,2
8.8,0.0,3.1,2025-03-09,2
10.4,0.0,3.1,2025-03-10,2
12.2,0.0,3.13,2025-03-11,3
15.3,0.3,3.17,2025-03-12,4
15.5,2.1,3.54,2025-03-13,3
14.9,0.0,3.89,2025-03-14,3
17.4,0.0,4.27,2025-03-15,3
16.6,0.0,4.22,2025-03-16,3
10.1,0.0,3.22,2025-03-17,2
6.6,2.1,1.59,2025-03-18,3
3.1,2.0,1.71,2025-03-19,1
3.6,0.0,2.72,2025-03-20,0
6.1,0.0,3.21,2025-03-21,1
8.2,0.0,3.3,2025-03-22,1
11.5,0.0,3.26,2025-03-23,2
13.6,0.1,2.57,2025-03-24,4
13.9,0.6,2.36,2025-03-25,4
14.6,0.3,2.98,2025-03-26,4
12.7,6.9,1.99,2025-03-27,5
10.3,0.0,2.73,2025-03-28,3
9.1,0.0,1.9,2025-03-29,3
8.7,6.5,1.88,2025-03-30,3
9.2,0.1,2.25,2025-03-31,3
9.6,3.6,2.31,2025-04-01,3
9.3,0.3,1.87,2025-04-02,3
9.7,8.2,2.05,2025-04-03,3
8.8,0.1,2.73,2025-04-04,2
8.5,1.9,2.46,2025-04-05,2
9.0,0.0,2.85,2025-04-06,2
9.1,0.0,2.76,2025-04-07,2
5.4,0.8,1.57,2025-04-08,2
5.2,0.7,1.55,2025-04-09,2
5.9,0.0,3.18,2025-04-10,1
