temperature_2m_mean,precipitation_sum,et0_fao_evapotranspiration,date,wine_quality_score
8.6,2.2,0.92,2025-01-14,4
10.1,5.6,0.72,2025-01-15,5
11.7,0.1,1.47,2025-01-16,5
11.2,1.0,1.63,2025-01-17,4
12.3,0.0,1.97,2025-01-18,4
12.1,0.0,2.09,2025-01-19,4
12.8,0.3,1.57,2025-01-20,5
13.4,4.6,1.57,2025-01-21,5
12.0,0.2,1.76,2025-01-22,4
12.3,0.0,1.82,2025-01-23,4
13.4,0.0,1.44,2025-01-24,5
12.0,0.0,1.77,2025-01-25,4
12.0,0.0,1.34,2025-01-26,5
12.7,0.0,1.66,2025-01-27,5
11.4,0.0,1.76,2025-01-28,4
12.8,0.0,1.36,2025-01-29,5
13.5,25.8,1.11,2025-01-30,6
11.7,0.0,1.92,2025-01-31,4
11.3,0.0,1.93,2025-02-01,4
11.5,0.0,1.87,2025-02-02,4
12.7,8.0,1.16,2025-02-03,6
11.2,3.0,1.62,2025-02-04,4
9.7,0.0,1.95,2025-02-05,3
9.2,0.0,2.27,2025-02-06,3
8.6,0.0,2.52,2025-02-07,2
7.3,0.0,2.45,2025-02-08,2
7.6,0.0,2.32,2025-02-09,2
7.3,0.0,2.35,2025-02-10,2
7.1,0.0,2.05,2025-02-11,2
8.3,1.4,0.99,2025-02-12,4
9.0,0.6,0.95,2025-02-13,4
11.0,2.9,1.2,2025-02-14,5
11.5,1.9,1.69,2025-02-15,4
11.8,29.8,0.66,2025-02-16,6
10.5,0.0,2.17,2025-02-17,3
10.9,0.8,2.05,2025-02-18,4
10.4,0.0,2.32,2025-02-19,3
9.2,0.0,1.95,2025-02-20,3
7.6,0.0,2.44,2025-02-21,2
7.1,0.0,2.57,2025-02-22,2
8.0,0.0,1.74,2025-02-23,3
8.9,3.1,0.56,2025-02-24,5
11.6,0.3,2.21,2025-02-25,4
11.2,0.1,2.29,2025-02-26,4
11.6,9.0,1.27,2025-02-27,5
11.4,0.0,2.45,2025-02-28,3
11.8,0.0,2.52,2025-03-01,3
12.0,0.0,1.75,2025-03-02,4
11.7,0.7,2.14,2025-03-03,4
10.6,0.0,3.32,2025-03-04,2
11.4,0.0,3.51,2025-03-05,2
11.7,0.0,3.21,2025-03-06,3
11.7,0.0,3.08,2025-03-07,3
12.4,0.0,2.16,2025-03-08,4
12.4,0.0,2.92,2025-03-09,3
13.5,0.0,2.93,2025-03-10,3
14.6,0.0,2.6,2025-03-11,4
17.1,0.2,2.4,2025-03-12,5
18.6,1.3,3.22,2025-03-13,5
16.8,0.0,3.13,2025-03-14,4
17.3,0.0,3.78,2025-03-15,4
17.2,0.0,3.29,2025-03-16,4
13.9,0.0,3.26,2025-03-17,3
11.6,0.4,2.09,2025-03-18,4
10.2,0.0,3.58,2025-03-19,2
9.4,0.0,3.75,2025-03-20,1
9.9,0.0,3.32,2025-03-21,2
11.8,0.0,3.24,2025-03-22,3
13.5,0.0,2.49,2025-03-23,4
15.5,0.0,2.0,2025-03-24,5
15.6,0.2,2.04,2025-03-25,5
17.6,0.3,3.58,2025-03-26,4
17.0,1.9,2.28,2025-03-27,6
13.9,1.3,2.67,2025-03-28,4
13.6,5.0,1.9,2025-03-29,5
13.1,3.7,2.61,2025-03-30,4
14.1,0.4,3.33,2025-03-31,3
13.4,2.0,2.99,2025-04-01,3
13.7,1.9,2.81,2025-04-02,4
13.4,6.3,2.61,2025-04-03,4
13.9,0.0,3.44,2025-04-04,3
13.3,0.0,3.27,2025-04-05,3
13.7,0.0,3.42,2025-04-06,3
14.3,0.0,3.18,2025-04-07,3
12.2,2.7,2.16,2025-04-08,4
11.2,5.1,2.76,2025-04-09,3
11.0,0.0,3.26,2025-04-10,2
