temperature_2m_mean,precipitation_sum,et0_fao_evapotranspiration,date,wine_quality_score
-0.2,8.1,0.27,2025-01-14,2
0.8,0.3,0.42,2025-01-15,2
2.2,0.9,0.22,2025-01-16,3
4.0,0.0,0.99,2025-01-17,3
4.9,0.0,1.17,2025-01-18,3
5.9,0.0,1.26,2025-01-19,3
6.4,0.0,1.09,2025-01-20,3
5.1,0.4,0.29,2025-01-21,4
6.4,0.0,1.24,2025-01-22,3
7.3,0.0,1.19,2025-01-23,4
7.3,0.0,0.76,2025-01-24,4
10.2,0.0,1.81,2025-01-25,4
7.5,0.0,0.71,2025-01-26,4
8.4,0.0,1.07,2025-01-27,4
7.9,0.0,0.78,2025-01-28,4
8.3,0.2,0.84,2025-01-29,4
8.4,2.6,0.51,2025-01-30,5
9.0,0.0,1.55,2025-01-31,4
9.5,0.0,1.73,2025-02-01,4
7.3,0.0,0.87,2025-02-02,4
7.2,2.5,0.65,2025-02-03,4
3.8,16.8,0.61,2025-02-04,3
3.5,0.0,1.38,2025-02-05,2
3.3,0.0,1.53,2025-02-06,2
2.5,0.3,0.87,2025-02-07,2
1.5,0.0,1.24,2025-02-08,1
1.5,0.0,1.18,2025-02-09,2
1.0,0.0,1.13,2025-02-10,1
1.4,0.0,1.1,2025-02-11,2
1.9,0.7,0.75,2025-02-12,2
2.9,0.1,0.79,2025-02-13,3
4.2,0.2,0.78,2025-02-14,3
5.7,0.1,1.0,2025-02-15,3
6.0,0.7,0.83,2025-02-16,4
5.4,1.4,0.87,2025-02-17,3
3.1,0.0,1.01,2025-02-18,2
1.4,0.6,1.5,2025-02-19,1
-0.5,0.0,1.52,2025-02-20,0
0.1,0.0,1.43,2025-02-21,1
-0.4,0.1,1.03,2025-02-22,1
1.5,0.0,1.01,2025-02-23,2
2.4,0.0,0.83,2025-02-24,2
4.9,0.0,1.37,2025-02-25,2
6.8,0.1,1.21,2025-02-26,3
7.4,7.8,0.72,2025-02-27,4
9.0,4.4,1.5,2025-02-28,4
8.6,0.1,1.2,2025-03-01,4
7.6,11.0,0.65,2025-03-02,5
4.7,1.1,1.12,2025-03-03,3
4.7,0.0,2.27,2025-03-04,1
8.4,0.0,2.87,2025-03-05,2
10.4,0.0,3.12,2025-03-06,2
11.3,0.0,3.62,2025-03-07,2
11.7,0.0,3.71,2025-03-08,2
11.6,0.0,3.29,2025-03-09,2
11.1,0.0,2.71,2025-03-10,3
11.0,0.0,1.97,2025-03-11,4
12.0,2.2,1.46,2025-03-12,5
14.5,0.2,2.29,2025-03-13,5
15.0,0.0,3.03,2025-03-14,4
15.2,0.0,2.23,2025-03-15,5
15.3,0.0,3.03,2025-03-16,4
12.6,0.0,3.45,2025-03-17,3
4.2,0.7,1.45,2025-03-18,2
2.8,0.0,2.56,2025-03-19,0
5.5,0.0,2.95,2025-03-20,1
8.0,0.0,3.18,2025-03-21,1
8.3,0.0,2.41,2025-03-22,2
8.1,1.2,0.81,2025-03-23,4
11.2,9.6,1.07,2025-03-24,5
11.5,8.4,1.28,2025-03-25,5
11.1,7.5,1.05,2025-03-26,5
10.6,6.0,1.13,2025-03-27,5
10.9,6.4,2.42,2025-03-28,3
9.1,15.7,0.86,2025-03-29,5
9.8,9.6,1.76,2025-03-30,4
9.6,6.1,1.6,2025-03-31,4
8.5,38.8,0.6,2025-04-01,5
10.6,15.8,2.2,2025-04-02,4
10.8,7.6,1.99,2025-04-03,4
8.7,20.3,0.83,2025-04-04,5
10.7,3.2,2.66,2025-04-05,3
9.4,3.4,2.42,2025-04-06,3
3.0,11.7,2.25,2025-04-07,1
3.1,0.5,1.81,2025-04-08,1
5.2,0.0,3.24,2025-04-09,0
9.2,1.1,3.5,2025-04-10,1
