temperature_2m_mean,precipitation_sum,et0_fao_evapotranspiration,date,wine_quality_score
2.4,27.6,0.18,2025-01-14,4
2.3,8.6,0.31,2025-01-15,3
4.8,2.4,0.2,2025-01-16,4
5.7,0.0,1.19,2025-01-17,3
6.4,0.0,1.46,2025-01-18,3
7.4,0.0,1.74,2025-01-19,3
7.8,0.3,1.51,2025-01-20,3
7.9,0.9,0.72,2025-01-21,4
8.1,0.0,1.66,2025-01-22,3
8.1,0.0,1.66,2025-01-23,3
9.8,0.0,1.05,2025-01-24,5
10.0,0.0,1.78,2025-01-25,4
8.7,0.0,1.35,2025-01-26,4
9.6,0.0,1.61,2025-01-27,4
8.8,0.0,1.64,2025-01-28,3
9.9,0.0,1.81,2025-01-29,4
10.5,1.5,1.26,2025-01-30,5
9.2,0.0,1.66,2025-01-31,4
9.3,0.0,1.85,2025-02-01,3
8.8,0.0,1.69,2025-02-02,3
9.2,5.2,1.03,2025-02-03,4
7.4,3.8,0.96,2025-02-04,4
4.5,0.0,1.19,2025-02-05,3
3.5,0.0,1.41,2025-02-06,2
3.4,0.8,1.06,2025-02-07,2
2.3,0.0,1.28,2025-02-08,2
2.8,0.0,1.24,2025-02-09,2
2.1,0.0,1.3,2025-02-10,2
2.3,0.0,1.38,2025-02-11,2
3.7,0.0,1.06,2025-02-12,2
4.6,0.5,0.89,2025-02-13,3
8.2,1.3,1.32,2025-02-14,4
8.1,0.4,1.77,2025-02-15,3
7.7,29.2,0.5,2025-02-16,5
8.9,0.1,1.68,2025-02-17,3
8.6,2.7,1.4,2025-02-18,4
5.9,0.3,1.02,2025-02-19,3
2.9,0.0,1.19,2025-02-20,2
2.4,0.0,1.34,2025-02-21,2
1.4,0.0,1.34,2025-02-22,1
2.3,0.0,1.73,2025-02-23,1
4.5,0.4,1.26,2025-02-24,2
7.6,0.4,1.69,2025-02-25,3
8.4,0.3,1.96,2025-02-26,3
8.8,3.3,1.15,2025-02-27,4
8.4,0.0,1.97,2025-02-28,3
9.4,0.0,2.0,2025-03-01,3
9.5,0.6,1.52,2025-03-02,4
8.0,0.7,1.53,2025-03-03,3
5.8,0.0,1.97,2025-03-04,2
7.4,0.0,2.59,2025-03-05,2
8.7,0.0,3.29,2025-03-06,1
10.3,0.0,3.73,2025-03-07,1
10.3,0.0,3.51,2025-03-08,2
10.7,0.0,3.34,2025-03-09,2
11.7,0.0,3.21,2025-03-10,3
12.3,0.0,2.84,2025-03-11,3
14.7,0.3,2.38,2025-03-12,5
16.6,1.5,3.53,2025-03-13,4
15.3,0.0,3.73,2025-03-14,3
16.3,0.0,4.37,2025-03-15,3
18.4,0.0,4.83,2025-03-16,3
12.6,0.0,3.58,2025-03-17,2
8.2,3.7,1.8,2025-03-18,3
4.1,4.3,1.88,2025-03-19,2
4.5,0.0,2.73,2025-03-20,1
6.9,0.0,3.08,2025-03-21,1
8.9,0.0,3.17,2025-03-22,2
11.0,0.0,2.64,2025-03-23,3
13.5,0.0,2.33,2025-03-24,4
13.4,0.3,2.02,2025-03-25,5
14.3,0.0,2.7,2025-03-26,4
13.4,3.3,2.34,2025-03-27,4
12.1,0.0,3.16,2025-03-28,3
11.0,0.0,2.47,2025-03-29,3
10.6,4.4,2.27,2025-03-30,3
10.5,10.9,1.86,2025-03-31,4
11.1,3.5,2.53,2025-04-01,3
10.8,0.6,2.12,2025-04-02,4
10.8,4.8,2.17,2025-04-03,4
10.5,8.6,2.08,2025-04-04,4
10.2,5.1,2.37,2025-04-05,3
11.4,0.3,3.05,2025-04-06,3
8.3,1.0,1.92,2025-04-07,3
6.2,1.3,1.53,2025-04-08,3
5.9,1.0,1.45,2025-04-09,3
7.7,0.0,3.17,2025-04-10,1
