temperature_2m_mean,precipitation_sum,et0_fao_evapotranspiration,date,wine_quality_score
7.4,2.3,1.31,2025-01-14,3
6.8,9.8,0.83,2025-01-15,4
9.0,0.1,0.89,2025-01-16,5
10.1,0.0,2.17,2025-01-17,3
10.1,0.0,2.05,2025-01-18,3
10.8,0.0,2.1,2025-01-19,4
11.5,0.2,1.92,2025-01-20,4
11.4,15.0,0.95,2025-01-21,6
11.4,6.9,1.25,2025-01-22,5
11.4,0.0,1.42,2025-01-23,5
13.8,0.0,1.29,2025-01-24,6
13.5,0.0,1.55,2025-01-25,5
13.4,0.0,1.23,2025-01-26,6
13.6,0.0,1.57,2025-01-27,5
13.5,0.0,1.54,2025-01-28,5
14.9,0.0,1.7,2025-01-29,6
13.9,5.2,1.3,2025-01-30,6
13.2,1.5,1.55,2025-01-31,5
13.3,0.0,1.79,2025-02-01,5
13.6,0.0,1.72,2025-02-02,5
13.3,3.8,1.21,2025-02-03,6
12.0,3.7,2.37,2025-02-04,4
10.7,0.0,3.03,2025-02-05,2
10.4,0.0,2.83,2025-02-06,3
9.5,0.0,2.82,2025-02-07,2
9.0,0.0,2.92,2025-02-08,2
8.8,0.0,2.53,2025-02-09,2
8.5,0.0,2.81,2025-02-10,2
9.0,0.3,2.82,2025-02-11,2
9.0,1.2,1.69,2025-02-12,4
9.6,10.5,1.28,2025-02-13,4
11.6,10.4,1.33,2025-02-14,5
12.4,0.2,1.75,2025-02-15,5
12.2,6.2,1.03,2025-02-16,6
12.2,0.8,1.94,2025-02-17,4
12.1,1.0,1.93,2025-02-18,4
10.8,0.6,2.16,2025-02-19,4
8.7,0.0,2.96,2025-02-20,2
8.1,0.0,2.99,2025-02-21,2
7.3,0.0,2.84,2025-02-22,1
8.5,0.0,2.45,2025-02-23,2
9.8,0.0,1.44,2025-02-24,4
11.1,0.0,1.74,2025-02-25,4
12.0,0.0,2.16,2025-02-26,4
12.0,6.3,1.02,2025-02-27,5
11.7,0.0,2.0,2025-02-28,4
12.4,0.0,2.24,2025-03-01,4
12.7,0.0,1.68,2025-03-02,5
12.8,0.0,3.14,2025-03-03,3
11.3,0.0,3.56,2025-03-04,2
13.2,0.0,3.58,2025-03-05,3
14.7,0.0,3.23,2025-03-06,4
14.3,0.0,3.08,2025-03-07,4
13.6,0.0,2.55,2025-03-08,4
13.7,0.0,2.84,2025-03-09,4
14.0,0.0,2.81,2025-03-10,4
16.5,0.1,3.09,2025-03-11,4
19.2,0.6,2.68,2025-03-12,6
19.4,0.8,3.44,2025-03-13,5
17.4,0.0,3.2,2025-03-14,5
20.3,0.0,4.07,2025-03-15,4
17.6,0.0,2.51,2025-03-16,5
14.3,1.0,3.08,2025-03-17,4
11.6,4.6,1.74,2025-03-18,4
9.9,0.6,3.9,2025-03-19,1
10.6,0.0,3.51,2025-03-20,2
11.4,0.0,2.96,2025-03-21,3
12.4,0.0,2.9,2025-03-22,3
14.5,0.0,2.19,2025-03-23,5
17.7,1.3,2.57,2025-03-24,5
16.6,5.6,1.83,2025-03-25,6
18.0,0.6,2.9,2025-03-26,5
17.5,6.3,3.12,2025-03-27,5
13.4,13.4,2.38,2025-03-28,4
13.5,0.9,1.91,2025-03-29,5
13.5,4.1,2.42,2025-03-30,4
14.6,0.4,2.96,2025-03-31,4
14.6,2.2,2.83,2025-04-01,4
14.7,0.6,2.99,2025-04-02,4
14.6,1.5,2.78,2025-04-03,4
13.7,4.4,2.87,2025-04-04,4
13.6,0.4,3.03,2025-04-05,3
14.1,0.6,3.18,2025-04-06,3
12.8,4.6,3.26,2025-04-07,3
11.8,0.1,3.32,2025-04-08,2
11.1,1.7,3.15,2025-04-09,2
11.7,0.0,3.1,2025-04-10,3
