temperature_2m_mean,precipitation_sum,et0_fao_evapotranspiration,date,wine_quality_score
-2.1,17.2,0.24,2025-01-14,2
-0.4,4.4,0.3,2025-01-15,2
0.8,7.4,0.19,2025-01-16,3
2.4,0.0,0.98,2025-01-17,2
3.8,0.0,1.25,2025-01-18,2
5.5,0.0,1.47,2025-01-19,3
5.0,0.0,1.13,2025-01-20,3
3.6,3.0,0.21,2025-01-21,4
4.5,0.0,1.09,2025-01-22,3
5.9,0.0,1.42,2025-01-23,3
7.8,0.0,0.9,2025-01-24,4
9.0,0.0,1.59,2025-01-25,4
7.3,0.0,1.06,2025-01-26,4
9.3,0.0,1.45,2025-01-27,4
9.4,0.0,1.66,2025-01-28,4
9.7,1.2,1.34,2025-01-29,4
8.1,2.3,0.76,2025-01-30,4
7.9,0.0,1.38,2025-01-31,4
8.7,0.0,1.54,2025-02-01,4
6.3,0.0,0.73,2025-02-02,4
6.0,3.1,0.66,2025-02-03,4
1.9,16.8,0.4,2025-02-04,3
0.9,1.0,1.03,2025-02-05,2
1.1,0.0,1.22,2025-02-06,1
-0.0,9.0,0.5,2025-02-07,2
-0.6,0.0,0.92,2025-02-08,1
-0.7,0.0,0.68,2025-02-09,1
-0.8,0.0,0.81,2025-02-10,1
-0.2,0.0,0.88,2025-02-11,1
0.1,4.4,0.46,2025-02-12,2
1.9,2.3,0.79,2025-02-13,2
4.2,0.3,0.93,2025-02-14,3
5.3,0.0,1.1,2025-02-15,3
4.6,3.8,0.73,2025-02-16,3
4.7,10.9,0.65,2025-02-17,4
1.6,6.8,0.8,2025-02-18,2
-1.3,1.7,0.96,2025-02-19,1
-2.5,0.0,1.29,2025-02-20,0
-2.5,1.4,0.68,2025-02-21,1
-2.2,4.9,0.59,2025-02-22,1
0.0,0.0,0.93,2025-02-23,1
1.6,0.0,1.02,2025-02-24,2
4.3,0.0,1.08,2025-02-25,3
5.7,0.0,1.29,2025-02-26,3
6.5,2.9,0.84,2025-02-27,4
7.1,9.0,1.32,2025-02-28,3
7.2,0.0,1.21,2025-03-01,3
6.4,4.0,0.8,2025-03-02,4
2.0,4.8,0.74,2025-03-03,2
2.6,0.0,1.62,2025-03-04,1
7.0,0.0,2.76,2025-03-05,1
9.6,0.0,3.03,2025-03-06,2
10.8,0.0,3.09,2025-03-07,2
10.7,0.0,3.16,2025-03-08,2
10.9,0.0,3.19,2025-03-09,2
12.0,0.0,3.43,2025-03-10,2
12.7,0.0,2.89,2025-03-11,3
14.3,1.7,2.92,2025-03-12,4
15.3,0.5,4.26,2025-03-13,2
16.1,0.0,4.59,2025-03-14,2
19.1,0.0,5.32,2025-03-15,2
17.8,0.0,5.24,2025-03-16,2
11.3,0.0,3.28,2025-03-17,2
1.8,8.8,0.77,2025-03-18,2
0.2,0.9,1.89,2025-03-19,0
3.6,0.0,2.34,2025-03-20,1
6.8,0.0,2.7,2025-03-21,1
8.2,0.0,2.64,2025-03-22,2
9.4,0.1,1.44,2025-03-23,4
13.4,0.2,3.04,2025-03-24,3
12.1,9.3,2.5,2025-03-25,4
10.6,2.8,1.49,2025-03-26,4
9.6,5.6,1.17,2025-03-27,4
9.2,3.7,2.2,2025-03-28,3
8.2,12.4,1.21,2025-03-29,4
8.0,5.7,1.28,2025-03-30,4
7.4,2.8,1.12,2025-03-31,4
6.9,37.5,0.5,2025-04-01,5
8.4,11.4,1.62,2025-04-02,4
8.6,12.2,1.3,2025-04-03,4
7.1,32.7,0.73,2025-04-04,5
8.2,6.8,1.88,2025-04-05,3
8.7,2.0,2.85,2025-04-06,2
0.5,19.6,1.31,2025-04-07,1
0.8,2.7,1.43,2025-04-08,1
2.8,0.6,2.65,2025-04-09,0
7.1,0.2,2.97,2025-04-10,1
