temperature_2m_mean,precipitation_sum,et0_fao_evapotranspiration,date,wine_quality_score
7.8,19.9,0.64,2025-01-14,5
5.9,10.7,0.78,2025-01-15,4
5.2,0.0,0.86,2025-01-16,3
3.6,0.0,1.27,2025-01-17,2
4.2,0.0,1.57,2025-01-18,2
4.6,0.0,1.67,2025-01-19,2
5.4,0.0,1.44,2025-01-20,3
7.9,0.7,0.93,2025-01-21,4
7.1,9.2,0.96,2025-01-22,4
6.8,1.2,1.39,2025-01-23,3
8.5,1.4,1.01,2025-01-24,4
9.4,11.7,0.73,2025-01-25,5
7.5,0.0,1.58,2025-01-26,3
8.1,0.0,1.23,2025-01-27,4
8.7,0.0,1.4,2025-01-28,4
10.2,2.2,1.12,2025-01-29,5
9.7,9.9,0.73,2025-01-30,5
9.1,1.9,1.4,2025-01-31,4
9.6,0.0,1.64,2025-02-01,4
9.0,0.0,1.65,2025-02-02,4
8.1,0.0,1.42,2025-02-03,4
6.4,3.7,0.5,2025-02-04,4
2.0,0.0,1.57,2025-02-05,1
0.7,0.0,1.94,2025-02-06,0
0.8,0.0,1.66,2025-02-07,1
2.7,0.0,1.63,2025-02-08,1
2.6,0.0,1.46,2025-02-09,2
2.4,0.0,1.71,2025-02-10,1
1.9,0.0,1.7,2025-02-11,1
1.5,0.0,1.64,2025-02-12,1
3.1,0.0,1.73,2025-02-13,1
4.7,0.2,0.99,2025-02-14,3
7.6,0.0,1.41,2025-02-15,3
8.1,1.3,1.59,2025-02-16,3
8.6,3.2,1.48,2025-02-17,4
7.8,5.0,1.2,2025-02-18,4
5.0,0.0,1.81,2025-02-19,2
0.8,0.0,1.88,2025-02-20,0
-0.6,0.0,1.87,2025-02-21,0
-1.5,0.0,1.88,2025-02-22,0
-0.7,0.0,1.95,2025-02-23,0
1.1,0.0,2.23,2025-02-24,0
3.1,2.0,0.92,2025-02-25,2
6.3,0.0,1.77,2025-02-26,2
7.4,16.8,0.64,2025-02-27,5
7.9,8.6,1.4,2025-02-28,4
8.3,0.0,1.91,2025-03-01,3
8.4,0.0,1.63,2025-03-02,3
7.5,1.6,1.82,2025-03-03,3
5.8,0.0,2.3,2025-03-04,2
7.6,0.0,2.55,2025-03-05,2
10.0,0.0,2.87,2025-03-06,2
11.4,0.0,3.01,2025-03-07,3
10.0,0.0,2.54,2025-03-08,3
9.1,0.0,2.36,2025-03-09,3
9.4,0.0,2.61,2025-03-10,2
10.9,0.0,2.51,2025-03-11,3
13.4,0.0,3.95,2025-03-12,2
14.1,0.0,4.04,2025-03-13,2
16.4,0.0,4.8,2025-03-14,2
17.8,0.0,5.41,2025-03-15,2
18.5,0.0,6.39,2025-03-16,1
14.3,0.0,3.08,2025-03-17,4
10.0,0.0,2.66,2025-03-18,3
3.4,0.2,2.54,2025-03-19,0
3.4,0.0,2.88,2025-03-20,0
5.4,0.0,3.07,2025-03-21,1
6.8,0.0,3.08,2025-03-22,1
9.5,0.0,3.35,2025-03-23,2
12.4,0.0,2.64,2025-03-24,3
14.0,0.2,3.63,2025-03-25,3
15.3,0.0,4.06,2025-03-26,3
17.6,0.1,6.14,2025-03-27,1
14.3,6.7,3.11,2025-03-28,4
10.4,10.6,1.69,2025-03-29,4
9.9,7.7,1.79,2025-03-30,4
10.6,17.0,1.74,2025-03-31,4
10.3,85.3,1.02,2025-04-01,6
9.8,11.5,1.55,2025-04-02,4
10.2,2.8,2.36,2025-04-03,3
10.6,0.0,3.09,2025-04-04,2
9.2,11.6,1.99,2025-04-05,3
9.3,5.0,2.23,2025-04-06,3
9.3,12.7,1.19,2025-04-07,4
5.9,1.6,1.31,2025-04-08,3
5.3,0.0,3.1,2025-04-09,0
6.1,0.0,3.53,2025-04-10,0
