temperature_2m_mean,precipitation_sum,et0_fao_evapotranspiration,date,wine_quality_score
15.2,7.6,2.08,2025-01-14,5
13.2,1.6,1.57,2025-01-15,5
14.0,2.7,2.14,2025-01-16,5
12.9,0.0,2.67,2025-01-17,4
13.8,0.0,2.79,2025-01-18,4
14.1,0.0,2.75,2025-01-19,4
14.2,0.0,2.33,2025-01-20,4
14.8,0.3,1.87,2025-01-21,5
14.8,1.3,2.77,2025-01-22,4
14.8,0.0,2.48,2025-01-23,5
15.9,0.7,1.39,2025-01-24,6
15.4,0.4,1.7,2025-01-25,6
13.5,0.0,2.19,2025-01-26,4
13.3,0.0,1.56,2025-01-27,5
14.7,0.1,1.52,2025-01-28,6
15.4,0.0,1.86,2025-01-29,6
15.5,0.8,1.86,2025-01-30,6
14.8,0.0,2.07,2025-01-31,5
14.9,0.0,2.0,2025-02-01,5
14.3,0.0,1.85,2025-02-02,5
14.4,0.0,1.89,2025-02-03,5
13.0,6.9,1.61,2025-02-04,5
9.3,0.0,2.89,2025-02-05,2
9.0,0.0,3.49,2025-02-06,1
8.5,0.0,2.98,2025-02-07,2
9.4,0.0,2.48,2025-02-08,3
9.3,0.2,2.5,2025-02-09,3
9.1,0.0,2.88,2025-02-10,2
9.0,0.0,2.97,2025-02-11,2
8.9,0.0,3.1,2025-02-12,2
10.4,0.0,2.47,2025-02-13,3
12.8,0.2,1.83,2025-02-14,5
14.1,0.0,2.05,2025-02-15,5
14.3,0.0,2.45,2025-02-16,4
14.2,0.4,2.14,2025-02-17,5
13.3,0.6,1.64,2025-02-18,5
12.0,0.0,2.16,2025-02-19,4
8.3,0.0,3.13,2025-02-20,1
7.3,0.0,3.04,2025-02-21,1
6.0,0.0,2.85,2025-02-22,1
7.2,0.0,3.07,2025-02-23,1
9.2,0.0,2.5,2025-02-24,3
11.0,7.1,1.08,2025-02-25,5
12.6,0.0,2.03,2025-02-26,4
13.7,1.2,1.45,2025-02-27,5
13.1,3.8,2.21,2025-02-28,4
13.9,0.0,2.3,2025-03-01,4
13.8,0.0,1.86,2025-03-02,5
13.4,0.3,2.57,2025-03-03,4
11.2,0.0,3.27,2025-03-04,2
13.7,0.0,3.59,2025-03-05,3
14.5,0.0,3.3,2025-03-06,3
14.5,0.0,3.08,2025-03-07,4
14.2,0.0,2.94,2025-03-08,4
14.7,0.0,3.2,2025-03-09,4
14.6,0.0,2.99,2025-03-10,4
16.1,0.0,2.94,2025-03-11,4
16.4,0.0,2.41,2025-03-12,5
16.9,0.0,3.04,2025-03-13,5
17.8,0.0,3.58,2025-03-14,4
18.4,0.0,4.19,2025-03-15,4
20.2,0.0,4.36,2025-03-16,4
17.3,0.0,3.01,2025-03-17,5
15.2,0.7,4.16,2025-03-18,3
10.0,2.3,3.08,2025-03-19,2
10.0,0.0,3.92,2025-03-20,1
11.9,0.0,4.42,2025-03-21,1
12.9,0.0,3.8,2025-03-22,2
14.8,0.0,3.45,2025-03-23,3
16.9,0.0,3.36,2025-03-24,4
16.6,0.0,3.13,2025-03-25,4
16.6,0.0,3.14,2025-03-26,4
17.9,0.0,4.23,2025-03-27,3
16.2,0.2,3.45,2025-03-28,4
15.1,1.3,3.19,2025-03-29,4
14.9,5.5,3.1,2025-03-30,4
15.6,21.7,1.9,2025-03-31,6
15.2,15.7,2.6,2025-04-01,5
14.3,2.2,2.28,2025-04-02,5
14.9,0.0,3.32,2025-04-03,3
15.2,0.0,3.47,2025-04-04,3
14.3,3.0,2.69,2025-04-05,4
15.1,0.8,3.25,2025-04-06,4
15.0,2.5,3.43,2025-04-07,3
11.8,8.1,1.96,2025-04-08,4
11.4,0.1,3.49,2025-04-09,2
12.3,0.0,4.08,2025-04-10,2
