temperature_2m_mean,precipitation_sum,et0_fao_evapotranspiration,date,wine_quality_score
1.2,10.1,0.44,2025-01-14,3
1.9,2.1,0.44,2025-01-15,3
2.7,0.0,0.84,2025-01-16,2
4.2,0.0,1.13,2025-01-17,3
7.3,0.0,1.51,2025-01-18,3
7.5,0.0,1.6,2025-01-19,3
8.4,0.0,1.39,2025-01-20,4
5.2,17.9,0.22,2025-01-21,4
6.7,6.5,1.1,2025-01-22,4
6.5,0.0,1.09,2025-01-23,3
8.3,0.2,0.8,2025-01-24,4
8.9,0.0,1.7,2025-01-25,3
9.0,0.0,1.57,2025-01-26,4
8.4,0.0,1.56,2025-01-27,3
8.4,0.0,1.69,2025-01-28,3
10.8,9.8,0.84,2025-01-29,5
9.8,4.2,1.35,2025-01-30,4
8.1,0.0,1.24,2025-01-31,4
8.1,0.0,1.74,2025-02-01,3
8.9,0.2,1.54,2025-02-02,4
9.2,2.0,1.08,2025-02-03,4
7.6,0.0,1.43,2025-02-04,3
5.9,0.0,1.85,2025-02-05,2
5.6,0.0,1.96,2025-02-06,2
4.7,0.0,1.8,2025-02-07,2
3.8,0.0,1.86,2025-02-08,1
3.1,0.0,1.8,2025-02-09,1
3.0,0.0,1.87,2025-02-10,1
3.0,0.7,1.29,2025-02-11,2
4.3,0.7,0.86,2025-02-12,3
5.8,2.7,0.68,2025-02-13,4
6.9,8.6,0.61,2025-02-14,4
7.9,0.1,1.49,2025-02-15,3
9.0,0.0,1.28,2025-02-16,4
7.8,0.0,1.62,2025-02-17,3
6.6,0.0,1.82,2025-02-18,3
5.1,0.0,2.01,2025-02-19,2
3.0,0.0,1.92,2025-02-20,1
2.7,0.0,1.91,2025-02-21,1
2.6,0.0,2.06,2025-02-22,1
4.9,0.0,1.64,2025-02-23,2
6.1,0.0,1.58,2025-02-24,3
7.2,0.1,1.03,2025-02-25,4
7.8,0.0,1.55,2025-02-26,3
8.0,9.1,0.88,2025-02-27,4
7.8,0.0,1.87,2025-02-28,3
8.3,0.0,1.82,2025-03-01,3
8.1,0.0,1.39,2025-03-02,4
7.5,0.0,2.27,2025-03-03,2
6.2,0.0,2.54,2025-03-04,1
8.5,0.0,3.21,2025-03-05,1
9.7,0.0,3.37,2025-03-06,2
10.5,0.0,3.53,2025-03-07,2
11.0,0.0,3.47,2025-03-08,2
10.9,0.0,3.67,2025-03-09,2
10.8,0.0,3.1,2025-03-10,2
12.2,0.8,2.73,2025-03-11,3
14.5,5.6,2.2,2025-03-12,5
14.2,3.9,2.27,2025-03-13,5
14.1,0.0,3.56,2025-03-14,3
18.2,0.2,5.06,2025-03-15,2
14.9,0.6,2.91,2025-03-16,4
9.3,0.2,2.42,2025-03-17,3
5.9,2.0,2.16,2025-03-18,2
4.7,0.0,3.0,2025-03-19,0
5.8,0.0,3.11,2025-03-20,1
7.8,0.0,3.24,2025-03-21,1
8.9,0.2,3.03,2025-03-22,2
10.8,1.3,2.4,2025-03-23,3
12.9,13.2,2.02,2025-03-24,5
12.3,18.3,1.87,2025-03-25,5
12.8,5.9,2.19,2025-03-26,4
12.2,18.3,1.66,2025-03-27,5
9.7,7.1,1.97,2025-03-28,4
8.9,7.1,0.89,2025-03-29,5
9.2,3.8,1.81,2025-03-30,3
8.9,8.6,1.89,2025-03-31,3
9.0,1.0,1.81,2025-04-01,3
9.9,2.8,2.54,2025-04-02,3
10.6,9.0,2.29,2025-04-03,3
9.7,6.1,2.35,2025-04-04,3
9.8,0.8,2.65,2025-04-05,3
9.5,3.1,2.36,2025-04-06,3
7.4,5.6,3.17,2025-04-07,1
5.9,0.3,1.86,2025-04-08,2
6.5,0.0,3.07,2025-04-09,1
6.5,0.0,2.82,2025-04-10,1
